rankid training region idx f0 policy xtime
0 RoundRobin matvec_std::operator() 0 5.70666e+07 0 0.0132787
0 RoundRobin matvec_std::operator() 1 5.70666e+07 1 0.230442
0 RoundRobin matvec_std::operator() 2 5.70666e+07 0 0.0192077
0 RoundRobin matvec_std::operator() 3 5.70666e+07 1 0.126712
0 RoundRobin matvec_std::operator() 4 5.70666e+07 0 0.0245066
0 RoundRobin matvec_std::operator() 5 5.70666e+07 1 0.174008
0 RoundRobin matvec_std::operator() 6 5.70666e+07 0 0.0146367
0 RoundRobin matvec_std::operator() 7 5.70666e+07 1 0.183968
0 RoundRobin matvec_std::operator() 8 5.70666e+07 0 0.0193589
0 RoundRobin matvec_std::operator() 9 5.70666e+07 1 0.17434
0 RoundRobin matvec_std::operator() 10 5.70666e+07 0 0.0267271
0 RoundRobin matvec_std::operator() 11 5.70666e+07 1 0.117212
0 RoundRobin matvec_std::operator() 12 5.70666e+07 0 0.0307266
0 RoundRobin matvec_std::operator() 13 5.70666e+07 1 0.161423
0 RoundRobin matvec_std::operator() 14 5.70666e+07 0 0.0270128
0 RoundRobin matvec_std::operator() 15 5.70666e+07 1 0.160211
0 RoundRobin matvec_std::operator() 16 5.70666e+07 0 0.0258193
0 RoundRobin matvec_std::operator() 17 5.70666e+07 1 0.160901
0 RoundRobin matvec_std::operator() 18 5.70666e+07 0 0.0147931
0 RoundRobin matvec_std::operator() 19 5.70666e+07 1 0.168414
0 RoundRobin matvec_std::operator() 20 5.70666e+07 0 0.00883843
0 RoundRobin matvec_std::operator() 21 5.70666e+07 1 0.172302
0 RoundRobin matvec_std::operator() 22 5.70666e+07 0 0.00876553
0 RoundRobin matvec_std::operator() 23 5.70666e+07 1 0.171441
0 RoundRobin matvec_std::operator() 24 5.70666e+07 0 0.0105472
0 RoundRobin matvec_std::operator() 25 5.70666e+07 1 0.172368
0 RoundRobin matvec_std::operator() 26 5.70666e+07 0 0.00987497
0 RoundRobin matvec_std::operator() 27 5.70666e+07 1 0.199494
0 RoundRobin matvec_std::operator() 28 5.70666e+07 0 0.00893552
0 RoundRobin matvec_std::operator() 29 5.70666e+07 1 0.1746
0 RoundRobin matvec_std::operator() 30 5.70666e+07 0 0.00904393
0 RoundRobin matvec_std::operator() 31 5.70666e+07 1 0.172713
0 RoundRobin matvec_std::operator() 32 5.70666e+07 0 0.011878
0 RoundRobin matvec_std::operator() 33 5.70666e+07 1 0.171303
0 RoundRobin matvec_std::operator() 34 5.70666e+07 0 0.0118706
0 RoundRobin matvec_std::operator() 35 5.70666e+07 1 0.171452
0 RoundRobin matvec_std::operator() 36 5.70666e+07 0 0.00852801
0 RoundRobin matvec_std::operator() 37 5.70666e+07 1 0.181599
0 RoundRobin matvec_std::operator() 38 5.70666e+07 0 0.0139564
0 RoundRobin matvec_std::operator() 39 5.70666e+07 1 0.175777
0 RoundRobin matvec_std::operator() 40 5.70666e+07 0 0.0153648
0 RoundRobin matvec_std::operator() 41 5.70666e+07 1 0.180185
0 RoundRobin matvec_std::operator() 42 5.70666e+07 0 0.0112606
0 RoundRobin matvec_std::operator() 43 5.70666e+07 1 0.171599
0 RoundRobin matvec_std::operator() 44 5.70666e+07 0 0.00899364
0 RoundRobin matvec_std::operator() 45 5.70666e+07 1 0.176353
0 RoundRobin matvec_std::operator() 46 5.70666e+07 0 0.0120743
0 RoundRobin matvec_std::operator() 47 5.70666e+07 1 0.172825
0 RoundRobin matvec_std::operator() 48 5.70666e+07 0 0.0115001
0 RoundRobin matvec_std::operator() 49 5.70666e+07 1 0.1789
0 RoundRobin matvec_std::operator() 50 5.70666e+07 0 0.0108875
0 RoundRobin matvec_std::operator() 51 5.70666e+07 1 0.172976
0 RoundRobin matvec_std::operator() 52 5.70666e+07 0 0.00901617
0 RoundRobin matvec_std::operator() 53 5.70666e+07 1 0.178037
0 RoundRobin matvec_std::operator() 54 5.70666e+07 0 0.00863392
0 RoundRobin matvec_std::operator() 55 5.70666e+07 1 0.174669
0 RoundRobin matvec_std::operator() 56 5.70666e+07 0 0.0142291
0 RoundRobin matvec_std::operator() 57 5.70666e+07 1 0.172937
0 RoundRobin matvec_std::operator() 58 5.70666e+07 0 0.00881778
0 RoundRobin matvec_std::operator() 59 5.70666e+07 1 0.174523
0 RoundRobin matvec_std::operator() 60 5.70666e+07 0 0.00908406
0 RoundRobin matvec_std::operator() 61 5.70666e+07 1 0.17493
0 RoundRobin matvec_std::operator() 62 5.70666e+07 0 0.0108992
0 RoundRobin matvec_std::operator() 63 5.70666e+07 1 0.174383
0 RoundRobin matvec_std::operator() 64 5.70666e+07 0 0.00831961
0 RoundRobin matvec_std::operator() 65 5.70666e+07 1 0.175993
0 RoundRobin matvec_std::operator() 66 5.70666e+07 0 0.00888424
0 RoundRobin matvec_std::operator() 67 5.70666e+07 1 0.176802
0 RoundRobin matvec_std::operator() 68 5.70666e+07 0 0.014899
0 RoundRobin matvec_std::operator() 69 5.70666e+07 1 0.175482
0 RoundRobin matvec_std::operator() 70 5.70666e+07 0 0.0123845
0 RoundRobin matvec_std::operator() 71 5.70666e+07 1 0.142302
0 RoundRobin matvec_std::operator() 72 5.70666e+07 0 0.0157103
0 RoundRobin matvec_std::operator() 73 5.70666e+07 1 0.170898
0 RoundRobin matvec_std::operator() 74 5.70666e+07 0 0.0213891
0 RoundRobin matvec_std::operator() 75 5.70666e+07 1 0.200771
0 RoundRobin matvec_std::operator() 76 5.70666e+07 0 0.01116
0 RoundRobin matvec_std::operator() 77 5.70666e+07 1 0.178029
0 RoundRobin matvec_std::operator() 78 5.70666e+07 0 0.0104873
0 RoundRobin matvec_std::operator() 79 5.70666e+07 1 0.166286
0 RoundRobin matvec_std::operator() 80 5.70666e+07 0 0.0102237
0 RoundRobin matvec_std::operator() 81 5.70666e+07 1 0.203817
0 RoundRobin matvec_std::operator() 82 5.70666e+07 0 0.0101693
0 RoundRobin matvec_std::operator() 83 5.70666e+07 1 0.194468
0 RoundRobin matvec_std::operator() 84 5.70666e+07 0 0.0103138
0 RoundRobin matvec_std::operator() 85 5.70666e+07 1 0.19325
0 RoundRobin matvec_std::operator() 86 5.70666e+07 0 0.018596
0 RoundRobin matvec_std::operator() 87 5.70666e+07 1 0.182906
0 RoundRobin matvec_std::operator() 88 5.70666e+07 0 0.0132692
0 RoundRobin matvec_std::operator() 89 5.70666e+07 1 0.186525
0 RoundRobin matvec_std::operator() 90 5.70666e+07 0 0.0113846
0 RoundRobin matvec_std::operator() 91 5.70666e+07 1 0.143884
0 RoundRobin matvec_std::operator() 92 5.70666e+07 0 0.0109412
0 RoundRobin matvec_std::operator() 93 5.70666e+07 1 0.189999
0 RoundRobin matvec_std::operator() 94 5.70666e+07 0 0.0144338
0 RoundRobin matvec_std::operator() 95 5.70666e+07 1 0.187318
0 RoundRobin matvec_std::operator() 96 5.70666e+07 0 0.0134869
0 RoundRobin matvec_std::operator() 97 5.70666e+07 1 0.188609
0 RoundRobin matvec_std::operator() 98 5.70666e+07 0 0.0111377
0 RoundRobin matvec_std::operator() 99 5.70666e+07 1 0.190193
0 RoundRobin matvec_std::operator() 100 5.70666e+07 0 0.0111462
0 RoundRobin matvec_std::operator() 101 5.70666e+07 0 0.00875038
0 RoundRobin matvec_std::operator() 102 5.70666e+07 0 0.0100729
0 RoundRobin matvec_std::operator() 103 5.70666e+07 0 0.00871819
0 RoundRobin matvec_std::operator() 104 5.70666e+07 0 0.0083907
0 RoundRobin matvec_std::operator() 105 5.70666e+07 0 0.00989059
0 RoundRobin matvec_std::operator() 106 5.70666e+07 0 0.00858009
0 RoundRobin matvec_std::operator() 107 5.70666e+07 0 0.00915856
0 RoundRobin matvec_std::operator() 108 5.70666e+07 0 0.00882428
