rankid training region idx f0 policy xtime
0 RoundRobin matvec_std::operator() 0 4.54757e+08 0 0.0836908
0 RoundRobin matvec_std::operator() 1 4.54757e+08 1 3.12939
0 RoundRobin matvec_std::operator() 2 4.54757e+08 0 0.0836346
0 RoundRobin matvec_std::operator() 3 4.54757e+08 1 3.08752
0 RoundRobin matvec_std::operator() 4 4.54757e+08 0 0.0798109
0 RoundRobin matvec_std::operator() 5 4.54757e+08 1 3.02196
0 RoundRobin matvec_std::operator() 6 4.54757e+08 0 0.0818489
0 RoundRobin matvec_std::operator() 7 4.54757e+08 1 3.01344
0 RoundRobin matvec_std::operator() 8 4.54757e+08 0 0.0849375
0 RoundRobin matvec_std::operator() 9 4.54757e+08 1 2.93138
0 RoundRobin matvec_std::operator() 10 4.54757e+08 0 0.0761704
0 RoundRobin matvec_std::operator() 11 4.54757e+08 1 2.89231
0 RoundRobin matvec_std::operator() 12 4.54757e+08 0 0.0767158
0 RoundRobin matvec_std::operator() 13 4.54757e+08 1 2.89396
0 RoundRobin matvec_std::operator() 14 4.54757e+08 0 0.0770489
0 RoundRobin matvec_std::operator() 15 4.54757e+08 1 2.95452
0 RoundRobin matvec_std::operator() 16 4.54757e+08 0 0.0761816
0 RoundRobin matvec_std::operator() 17 4.54757e+08 1 2.94268
0 RoundRobin matvec_std::operator() 18 4.54757e+08 0 0.0766205
0 RoundRobin matvec_std::operator() 19 4.54757e+08 1 2.91441
0 RoundRobin matvec_std::operator() 20 4.54757e+08 0 0.0765138
0 RoundRobin matvec_std::operator() 21 4.54757e+08 1 2.91216
0 RoundRobin matvec_std::operator() 22 4.54757e+08 0 0.0766782
0 RoundRobin matvec_std::operator() 23 4.54757e+08 1 2.90966
0 RoundRobin matvec_std::operator() 24 4.54757e+08 0 0.0805641
0 RoundRobin matvec_std::operator() 25 4.54757e+08 1 2.85009
0 RoundRobin matvec_std::operator() 26 4.54757e+08 0 0.0741126
0 RoundRobin matvec_std::operator() 27 4.54757e+08 1 2.83703
0 RoundRobin matvec_std::operator() 28 4.54757e+08 0 0.0744468
0 RoundRobin matvec_std::operator() 29 4.54757e+08 1 2.80669
0 RoundRobin matvec_std::operator() 30 4.54757e+08 0 0.0745227
0 RoundRobin matvec_std::operator() 31 4.54757e+08 1 2.82664
0 RoundRobin matvec_std::operator() 32 4.54757e+08 0 0.0745606
0 RoundRobin matvec_std::operator() 33 4.54757e+08 1 2.80365
0 RoundRobin matvec_std::operator() 34 4.54757e+08 0 0.0741275
0 RoundRobin matvec_std::operator() 35 4.54757e+08 1 2.99421
0 RoundRobin matvec_std::operator() 36 4.54757e+08 0 0.0763129
0 RoundRobin matvec_std::operator() 37 4.54757e+08 1 2.8737
0 RoundRobin matvec_std::operator() 38 4.54757e+08 0 0.0764682
0 RoundRobin matvec_std::operator() 39 4.54757e+08 1 2.88633
0 RoundRobin matvec_std::operator() 40 4.54757e+08 0 0.0763703
0 RoundRobin matvec_std::operator() 41 4.54757e+08 1 2.87444
0 RoundRobin matvec_std::operator() 42 4.54757e+08 0 0.0765447
0 RoundRobin matvec_std::operator() 43 4.54757e+08 1 2.87843
0 RoundRobin matvec_std::operator() 44 4.54757e+08 0 0.0771552
0 RoundRobin matvec_std::operator() 45 4.54757e+08 1 2.87314
0 RoundRobin matvec_std::operator() 46 4.54757e+08 0 0.0779052
0 RoundRobin matvec_std::operator() 47 4.54757e+08 1 2.82788
0 RoundRobin matvec_std::operator() 48 4.54757e+08 0 0.0783807
