rankid,training,region,idx,f0,policy,xtime
0,RoundRobin,matvec_std::operator(),0,454756608,0,0.08324042
0,RoundRobin,matvec_std::operator(),1,454756608,1,3.192842793
0,RoundRobin,matvec_std::operator(),2,454756608,0,0.082318063
0,RoundRobin,matvec_std::operator(),3,454756608,1,3.13514778
0,RoundRobin,matvec_std::operator(),4,454756608,0,0.08223707
0,RoundRobin,matvec_std::operator(),5,454756608,1,3.262236571
0,RoundRobin,matvec_std::operator(),6,454756608,0,0.082115271
0,RoundRobin,matvec_std::operator(),7,454756608,1,3.14925752
0,RoundRobin,matvec_std::operator(),8,454756608,0,0.08632804
0,RoundRobin,matvec_std::operator(),9,454756608,1,3.087902009
0,RoundRobin,matvec_std::operator(),10,454756608,0,0.080145831
0,RoundRobin,matvec_std::operator(),11,454756608,1,3.029102064
0,RoundRobin,matvec_std::operator(),12,454756608,0,0.080427264
0,RoundRobin,matvec_std::operator(),13,454756608,1,3.094652943
0,RoundRobin,matvec_std::operator(),14,454756608,0,0.080417059
0,RoundRobin,matvec_std::operator(),15,454756608,1,3.064298228
0,RoundRobin,matvec_std::operator(),16,454756608,0,0.091981795
0,RoundRobin,matvec_std::operator(),17,454756608,1,3.008728716
0,RoundRobin,matvec_std::operator(),18,454756608,0,0.077571879
0,RoundRobin,matvec_std::operator(),19,454756608,1,2.9527367
0,RoundRobin,matvec_std::operator(),20,454756608,0,0.077348408
0,RoundRobin,matvec_std::operator(),21,454756608,1,2.973363848
0,RoundRobin,matvec_std::operator(),22,454756608,0,0.077608846
0,RoundRobin,matvec_std::operator(),23,454756608,1,2.952112264
0,RoundRobin,matvec_std::operator(),24,454756608,0,0.077257897
0,RoundRobin,matvec_std::operator(),25,454756608,1,2.969661166
0,RoundRobin,matvec_std::operator(),26,454756608,0,0.078399395
0,RoundRobin,matvec_std::operator(),27,454756608,1,3.041067392
0,RoundRobin,matvec_std::operator(),28,454756608,0,0.076877712
0,RoundRobin,matvec_std::operator(),29,454756608,1,2.957799678
0,RoundRobin,matvec_std::operator(),30,454756608,0,0.084961088
0,RoundRobin,matvec_std::operator(),31,454756608,1,2.86229619
0,RoundRobin,matvec_std::operator(),32,454756608,0,0.073884624
0,RoundRobin,matvec_std::operator(),33,454756608,1,2.85188913
0,RoundRobin,matvec_std::operator(),34,454756608,0,0.073855141
0,RoundRobin,matvec_std::operator(),35,454756608,1,2.840915463
0,RoundRobin,matvec_std::operator(),36,454756608,0,0.074156533
0,RoundRobin,matvec_std::operator(),37,454756608,1,2.848139597
0,RoundRobin,matvec_std::operator(),38,454756608,0,0.074079536
0,RoundRobin,matvec_std::operator(),39,454756608,1,2.854977081
0,RoundRobin,matvec_std::operator(),40,454756608,0,0.074101589
0,RoundRobin,matvec_std::operator(),41,454756608,1,2.920737315
0,RoundRobin,matvec_std::operator(),42,454756608,0,0.07433263
0,RoundRobin,matvec_std::operator(),43,454756608,1,2.906475928
0,RoundRobin,matvec_std::operator(),44,454756608,0,0.074089991
0,RoundRobin,matvec_std::operator(),45,454756608,1,2.844246389
0,RoundRobin,matvec_std::operator(),46,454756608,0,0.077789905
0,RoundRobin,matvec_std::operator(),47,454756608,1,2.76858522
0,RoundRobin,matvec_std::operator(),48,454756608,0,0.079530652
0,RoundRobin,matvec_std::operator(),49,454756608,1,2.690043127
0,RoundRobin,matvec_std::operator(),50,454756608,0,0.070785669
0,RoundRobin,matvec_std::operator(),51,454756608,1,2.681396977
0,RoundRobin,matvec_std::operator(),52,454756608,0,0.071057942
0,RoundRobin,matvec_std::operator(),53,454756608,1,2.688066816
0,RoundRobin,matvec_std::operator(),54,454756608,0,0.070830609
0,RoundRobin,matvec_std::operator(),55,454756608,1,2.696535947
0,RoundRobin,matvec_std::operator(),56,454756608,0,0.070467483
0,RoundRobin,matvec_std::operator(),57,454756608,1,2.680667033
0,RoundRobin,matvec_std::operator(),58,454756608,0,0.070647511
0,RoundRobin,matvec_std::operator(),59,454756608,1,2.689429935
0,RoundRobin,matvec_std::operator(),60,454756608,0,0.070547966
0,RoundRobin,matvec_std::operator(),61,454756608,1,2.687921249
0,RoundRobin,matvec_std::operator(),62,454756608,0,0.070673538
0,RoundRobin,matvec_std::operator(),63,454756608,1,2.669699759
0,RoundRobin,matvec_std::operator(),64,454756608,0,0.070891582
0,RoundRobin,matvec_std::operator(),65,454756608,1,2.690295373
0,RoundRobin,matvec_std::operator(),66,454756608,0,0.070817358
0,RoundRobin,matvec_std::operator(),67,454756608,1,2.685050884
0,RoundRobin,matvec_std::operator(),68,454756608,0,0.070843515
0,RoundRobin,matvec_std::operator(),69,454756608,1,2.710749042
0,RoundRobin,matvec_std::operator(),70,454756608,0,0.070685903
0,RoundRobin,matvec_std::operator(),71,454756608,1,2.688265861
0,RoundRobin,matvec_std::operator(),72,454756608,0,0.070741839
0,RoundRobin,matvec_std::operator(),73,454756608,1,2.693020237
0,RoundRobin,matvec_std::operator(),74,454756608,0,0.072375163
0,RoundRobin,matvec_std::operator(),75,454756608,1,2.6190655
0,RoundRobin,matvec_std::operator(),76,454756608,0,0.072912676
0,RoundRobin,matvec_std::operator(),77,454756608,1,2.583178815
0,RoundRobin,matvec_std::operator(),78,454756608,0,0.067638762
0,RoundRobin,matvec_std::operator(),79,454756608,1,2.562229355
0,RoundRobin,matvec_std::operator(),80,454756608,0,0.067805
0,RoundRobin,matvec_std::operator(),81,454756608,1,2.521661655
0,RoundRobin,matvec_std::operator(),82,454756608,0,0.067422301
0,RoundRobin,matvec_std::operator(),83,454756608,1,2.523092244
0,RoundRobin,matvec_std::operator(),84,454756608,0,0.078369703
0,RoundRobin,matvec_std::operator(),85,454756608,1,2.543684968
0,RoundRobin,matvec_std::operator(),86,454756608,0,0.071641867
0,RoundRobin,matvec_std::operator(),87,454756608,1,2.44545882
0,RoundRobin,matvec_std::operator(),88,454756608,0,0.064273275
0,RoundRobin,matvec_std::operator(),89,454756608,1,2.336484595
0,RoundRobin,matvec_std::operator(),90,454756608,0,0.06469931
0,RoundRobin,matvec_std::operator(),91,454756608,1,2.331261966
0,RoundRobin,matvec_std::operator(),92,454756608,0,0.063903025
0,RoundRobin,matvec_std::operator(),93,454756608,1,2.327797738
0,RoundRobin,matvec_std::operator(),94,454756608,0,0.063111264
